name,year,selling_price,seller_type,transmission,owner,km_driven,fuel,mileage,engine,max_power,seats
Maruti 800 AC,2007,60000.0,Individual,Manual,First Owner,70000.0,Petrol,,,,
Maruti Wagon R LXI Minor,2007,135000.0,Individual,Manual,First Owner,50000.0,Petrol,,,,
Hyundai Verna 1.6 SX,2012,600000.0,Individual,Manual,First Owner,100000.0,Diesel,,,,
Datsun RediGO T Option,2017,250000.0,Individual,Manual,First Owner,46000.0,Petrol,,,,
Honda Amaze VX i-DTEC,2014,450000.0,Individual,Manual,Second Owner,141000.0,Diesel,,,,
Maruti Alto LX BSIII,2007,140000.0,Individual,Manual,First Owner,125000.0,Petrol,,,,
Hyundai Xcent 1.2 Kappa S,2016,550000.0,Individual,Manual,First Owner,25000.0,Petrol,,,,
Tata Indigo Grand Petrol,2014,240000.0,Individual,Manual,Second Owner,60000.0,Petrol,,,,
Hyundai Creta 1.6 VTVT S,2015,850000.0,Individual,Manual,First Owner,25000.0,Petrol,,,,
Maruti Celerio Green VXI,2017,365000.0,Individual,Manual,First Owner,78000.0,Cng,,,,
Chevrolet Sail 1.2 Base,2015,260000.0,Individual,Manual,First Owner,35000.0,Petrol,,,,
Tata Indigo Grand Petrol,2014,250000.0,Individual,Manual,First Owner,100000.0,Petrol,,,,
Toyota Corolla Altis 1.8 VL CVT,2018,1650000.0,Dealer,Automatic,First Owner,25000.0,Petrol,,,,
Maruti Ciaz VXi Plus,2015,585000.0,Dealer,Manual,First Owner,24000.0,Petrol,,,,
Hyundai Venue SX Opt Diesel,2019,1195000.0,Dealer,Manual,First Owner,5000.0,Diesel,,,,
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000.0,Individual,Manual,Second Owner,33000.0,Diesel,,,,
Jaguar XF 2.2 Litre Luxury,2014,1964999.0,Dealer,Automatic,First Owner,28000.0,Diesel,,,,
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000.0,Dealer,Automatic,First Owner,59000.0,Diesel,,,,
Maruti Vitara Brezza ZDi Plus AMT,2018,975000.0,Dealer,Automatic,First Owner,4500.0,Diesel,,,,
Audi Q5 2.0 TDI,2011,1190000.0,Dealer,Automatic,First Owner,175900.0,Diesel,,,,
Honda City V MT,2018,930000.0,Dealer,Manual,First Owner,14500.0,Petrol,,,,
Tata Tigor 1.2 Revotron XT,2018,525000.0,Individual,Manual,First Owner,15000.0,Petrol,,,,
